"Model","Metric","Mean","SD","Mean_pm_SD"
"Logistic Regression (stepwise)","AUC",0.7983,0.0748,"0.798 +/- 0.075"
"Logistic Regression (stepwise)","Accuracy",0.7531,0.0617,"0.753 +/- 0.062"
"Logistic Regression (stepwise)","Sensitivity",0.7604,0.0879,"0.760 +/- 0.088"
"Logistic Regression (stepwise)","Specificity",0.7198,0.1734,"0.720 +/- 0.173"
"Logistic Regression (stepwise)","Balanced Acc.",0.7401,0.0754,"0.740 +/- 0.075"
"kNN (k = 25, tuned vote-thr)","AUC",0.7701,0.0642,"0.770 +/- 0.064"
"kNN (k = 25, tuned vote-thr)","Accuracy",0.6853,0.059,"0.685 +/- 0.059"
"kNN (k = 25, tuned vote-thr)","Sensitivity",0.6751,0.0784,"0.675 +/- 0.078"
"kNN (k = 25, tuned vote-thr)","Specificity",0.7595,0.1304,"0.759 +/- 0.130"
"kNN (k = 25, tuned vote-thr)","Balanced Acc.",0.7173,0.0582,"0.717 +/- 0.058"
